DateRecorded,State,CountyName,Population,Population20Plus,Population65Plus,StaffedAllBeds,StaffedICUBeds,LicensedAllBeds
05/07/2020,FL,Manatee,394855.0,315673.0,108173.0,867.0,98.0,895.0
05/07/2020,FL,Marion,359977.0,286493.0,104178.0,817.0,110.0,1004.0
05/07/2020,FL,Martin,160912.0,131772.0,49690.0,643.0,74.0,845.0
05/07/2020,FL,Miami-Dade,2761581.0,2139294.0,448112.0,8156.0,652.0,10911.0
05/07/2020,FL,Monroe,75027.0,62568.0,17266.0,129.0,14.0,197.0
05/07/2020,FL,Nassau,85832.0,67246.0,19042.0,54.0,0.0,62.0
05/07/2020,FL,Okaloosa,207269.0,156956.0,33189.0,388.0,57.0,677.0
05/07/2020,FL,Okeechobee,41537.0,31758.0,8218.0,100.0,8.0,100.0
05/07/2020,FL,Orange,1380645.0,1035660.0,164820.0,4991.0,416.0,6909.0
05/07/2020,FL,Osceola,367990.0,268536.0,48605.0,575.0,66.0,1027.0
05/07/2020,FL,Palm Beach,1485941.0,1170382.0,355266.0,4148.0,431.0,4722.0
05/07/2020,FL,Pasco,539630.0,418951.0,122105.0,1384.0,170.0,1490.0
05/07/2020,FL,Pinellas,975280.0,800819.0,241641.0,3319.0,335.0,4125.0
05/07/2020,FL,Polk,708009.0,534318.0,143142.0,1598.0,145.0,1826.0
05/07/2020,FL,Putnam,74163.0,56809.0,17204.0,99.0,10.0,99.0
05/07/2020,FL,Santa Rosa,179349.0,136195.0,28645.0,294.0,16.0,385.0
05/07/2020,FL,Sarasota,426718.0,359105.0,156509.0,1277.0,118.0,1628.0
05/07/2020,FL,Seminole,467832.0,359416.0,72533.0,332.0,38.0,975.0
05/07/2020,FL,St. Johns,254261.0,193043.0,51480.0,335.0,47.0,335.0
05/07/2020,FL,St. Lucie,321128.0,251290.0,77503.0,728.0,69.0,897.0
05/07/2020,FL,Sumter,128754.0,118800.0,74146.0,317.0,56.0,347.0
05/07/2020,FL,Suwannee,44191.0,33903.0,9442.0,25.0,0.0,25.0
05/07/2020,FL,Taylor,21623.0,16904.0,4420.0,48.0,6.0,48.0
05/07/2020,FL,Union,14940.0,11694.0,2237.0,145.0,0.0,145.0
05/07/2020,FL,Volusia,547538.0,437700.0,133733.0,1210.0,148.0,2082.0
05/07/2020,FL,Walton,71375.0,55795.0,14677.0,112.0,28.0,136.0
